phase,date,y_true,y_pred,correct,confidence,entropy,cumulative_acc,balanced_acc,macro_f1
PHASE1_TRAIN,2016-08-03,3,3,1,0.8693,0.7232,0.5437,0.19,0.1763
PHASE1_TRAIN,2016-09-07,3,3,1,0.8687,0.7667,0.4915,0.1814,0.169
PHASE1_TRAIN,2016-08-11,3,3,1,0.8682,0.6813,0.5053,0.1868,0.1718
PHASE1_TRAIN,2017-11-20,3,3,1,0.8681,0.8103,0.4988,0.2067,0.1993
PHASE1_TRAIN,2016-08-31,3,3,1,0.8677,0.6806,0.4918,0.1837,0.1713
PHASE1_TRAIN,2017-11-24,3,3,1,0.8669,0.8123,0.4991,0.2067,0.1994
PHASE1_TRAIN,2017-11-22,3,3,1,0.8663,0.8131,0.499,0.2067,0.1994
PHASE1_TRAIN,2016-08-25,3,3,1,0.8662,0.754,0.5464,0.1912,0.1782
PHASE1_TRAIN,2016-08-15,3,3,1,0.866,0.6849,0.5208,0.1881,0.1738
PHASE1_TRAIN,2016-08-03,3,3,1,0.8649,0.764,0.5,0.191,0.1753
PHASE1_TRAIN,2017-11-23,3,3,1,0.8642,0.8267,0.499,0.2067,0.1994
PHASE1_TRAIN,2016-08-31,3,3,1,0.8635,0.7348,0.5015,0.1839,0.1711
PHASE1_TRAIN,2016-09-08,3,3,1,0.8622,0.7988,0.4926,0.1833,0.171
PHASE1_TRAIN,2016-10-10,3,3,1,0.8616,0.764,0.4933,0.1807,0.1687
PHASE1_TRAIN,2016-08-26,3,3,1,0.8608,0.7447,0.495,0.1874,0.172
PHASE1_TRAIN,2017-11-21,3,3,1,0.8607,0.8457,0.4989,0.2067,0.1994
PHASE1_TRAIN,2016-07-29,3,3,1,0.8606,0.744,0.5041,0.1869,0.172
PHASE1_TRAIN,2016-09-21,3,3,1,0.8571,0.7715,0.4948,0.1844,0.1727
PHASE1_TRAIN,2016-08-02,3,3,1,0.857,0.7072,0.5428,0.1899,0.1761
PHASE1_TRAIN,2016-08-17,3,3,1,0.8562,0.7705,0.5368,0.1899,0.1758
PHASE1_TRAIN,2017-11-27,3,3,1,0.8544,0.8642,0.4991,0.2068,0.1994
PHASE1_TRAIN,2016-09-06,3,3,1,0.8528,0.7603,0.5039,0.1842,0.1715
