confidence_bucket,n,accuracy,avg_conf
0.2-0.3,214,0.32242990654205606,0.2873911214953271
0.3-0.4,14083,0.3801746786906199,0.36788304338564226
0.4-0.5,24339,0.4596737746004355,0.446923678047578
0.5-0.6,10994,0.49972712388575585,0.5390760414771694
0.6-0.7,2983,0.5162587998659068,0.6415989943010392
0.7-0.8,886,0.5586907449209932,0.7378435665914221
0.8-0.9,180,0.45,0.8444772222222222
0.9-1.0,90,0.5666666666666667,0.94033
