phase,date,y_true,y_pred,correct,confidence,entropy,cumulative_acc
PHASE1_TRAIN,2016-08-22,8,7,0,0.7518,1.3057,0.3643
PHASE1_TRAIN,2016-08-23,4,7,0,0.7517,1.2366,0.3441
PHASE1_TRAIN,2016-08-19,9,7,0,0.7513,1.0053,0.3842
PHASE1_TRAIN,2016-09-13,9,10,0,0.7499,1.2404,0.3761
PHASE1_TRAIN,2016-08-05,5,7,0,0.7495,1.2344,0.3276
PHASE1_TRAIN,2016-08-10,9,7,0,0.7494,1.0476,0.3514
PHASE1_TRAIN,2016-11-01,10,7,0,0.749,1.3257,0.3587
PHASE1_TRAIN,2016-10-13,8,7,0,0.7489,1.4589,0.3569
PHASE1_TRAIN,2016-10-10,9,7,0,0.7483,1.1763,0.3737
PHASE1_TRAIN,2016-07-25,9,5,0,0.7481,0.9511,0.3486
PHASE1_TRAIN,2020-12-14,8,7,0,0.7474,1.5558,0.3482
PHASE1_TRAIN,2016-09-12,9,8,0,0.7469,1.4051,0.3765
PHASE1_TRAIN,2016-07-29,7,8,0,0.746,0.9138,0.3103
PHASE1_TRAIN,2016-08-29,5,7,0,0.7449,1.3013,0.3848
PHASE1_TRAIN,2019-07-31,6,7,0,0.7448,1.5678,0.3529
PHASE1_TRAIN,2016-08-31,6,10,0,0.7441,1.1489,0.3804
PHASE1_TRAIN,2016-09-12,9,8,0,0.7435,1.356,0.3758
PHASE1_TRAIN,2016-12-07,10,7,0,0.7432,1.4574,0.3504
PHASE1_TRAIN,2017-10-16,9,7,0,0.7426,1.4173,0.3669
PHASE1_TRAIN,2016-08-25,4,7,0,0.7425,1.261,0.3457
PHASE1_TRAIN,2019-07-26,5,7,0,0.7423,1.5904,0.3529
PHASE1_TRAIN,2016-12-22,8,7,0,0.7416,1.4207,0.3516
PHASE1_TRAIN,2019-06-19,5,7,0,0.7415,1.3361,0.3535
PHASE1_TRAIN,2016-08-11,7,9,0,0.741,0.9916,0.3421
PHASE2_UPGRADE,2023-10-24,7,5,0,0.7409,1.4835,0.3547
PHASE1_TRAIN,2019-02-07,10,7,0,0.739,1.4848,0.3537
PHASE1_TRAIN,2016-09-06,5,9,0,0.739,1.3515,0.3776
PHASE1_TRAIN,2016-10-06,10,7,0,0.7386,1.4303,0.3686
PHASE1_TRAIN,2018-02-06,7,10,0,0.7374,1.5275,0.37
PHASE1_TRAIN,2016-07-22,5,10,0,0.735,0.9196,0.3519
PHASE1_TRAIN,2016-08-05,9,7,0,0.7339,1.0352,0.3366
PHASE1_TRAIN,2016-10-13,9,7,0,0.7337,1.4386,0.3581
PHASE1_TRAIN,2016-08-15,5,7,0,0.7318,0.8875,0.4167
PHASE1_TRAIN,2016-08-02,7,9,0,0.7316,1.3329,0.3869
PHASE1_TRAIN,2017-08-07,9,4,0,0.7303,1.5583,0.3649
PHASE2_UPGRADE,2023-06-06,5,7,0,0.73,1.538,0.352
PHASE1_TRAIN,2016-08-05,10,7,0,0.7293,1.1845,0.339
PHASE1_TRAIN,2016-10-11,10,7,0,0.7291,1.441,0.3808
PHASE1_TRAIN,2016-10-05,9,7,0,0.7288,1.3698,0.3824
PHASE1_TRAIN,2020-01-09,5,10,0,0.7278,1.5708,0.3556
PHASE1_TRAIN,2016-08-16,6,7,0,0.7274,1.4023,0.3873
PHASE1_TRAIN,2019-07-29,8,7,0,0.7271,1.6539,0.3529
PHASE1_TRAIN,2016-08-26,8,7,0,0.7265,1.281,0.341
PHASE1_TRAIN,2016-10-03,5,7,0,0.7257,1.2522,0.3699
PHASE1_TRAIN,2016-09-12,9,10,0,0.7241,1.2494,0.3776
PHASE1_TRAIN,2016-07-25,8,5,0,0.7239,1.3056,0.3394
PHASE1_TRAIN,2016-12-30,6,7,0,0.7237,1.4035,0.3563
PHASE1_TRAIN,2016-07-27,7,9,0,0.723,1.1903,0.3821
PHASE1_TRAIN,2016-12-22,4,7,0,0.7224,1.5617,0.3562
PHASE1_TRAIN,2017-03-07,8,10,0,0.7213,1.4115,0.3671
PHASE1_TRAIN,2016-11-04,10,7,0,0.721,1.5074,0.3548
PHASE1_TRAIN,2016-08-18,9,7,0,0.7208,1.2268,0.3388
PHASE1_TRAIN,2016-08-18,8,7,0,0.7199,1.5041,0.3861
PHASE1_TRAIN,2016-10-20,8,9,0,0.7199,1.4522,0.3614
PHASE1_TRAIN,2016-10-07,10,7,0,0.7193,1.4512,0.3766
PHASE1_TRAIN,2019-10-21,5,7,0,0.7186,1.4859,0.3526
PHASE1_TRAIN,2016-10-13,9,7,0,0.7185,1.5641,0.3561
PHASE1_TRAIN,2016-08-08,6,10,0,0.7177,0.971,0.3361
PHASE1_TRAIN,2016-10-13,9,7,0,0.7161,1.4981,0.3546
PHASE1_TRAIN,2016-09-12,10,8,0,0.7155,1.4001,0.373
PHASE1_TRAIN,2019-07-17,10,7,0,0.715,1.3397,0.3535
PHASE1_TRAIN,2016-09-09,8,9,0,0.7132,1.495,0.3751
PHASE1_TRAIN,2017-06-09,8,7,0,0.713,1.6163,0.3637
PHASE1_TRAIN,2016-09-13,6,9,0,0.7129,1.4931,0.3755
PHASE1_TRAIN,2016-09-26,6,7,0,0.7124,1.1843,0.3788
PHASE1_TRAIN,2016-08-05,8,7,0,0.7121,0.9993,0.3529
PHASE1_TRAIN,2016-10-06,1,7,0,0.7104,1.5381,0.3701
PHASE1_TRAIN,2016-08-05,8,7,0,0.71,1.1406,0.3304
PHASE1_TRAIN,2017-03-13,4,7,0,0.7099,1.5733,0.3662
PHASE1_TRAIN,2018-03-22,8,7,0,0.7098,1.5913,0.3634
PHASE1_TRAIN,2020-06-02,9,7,0,0.7096,1.5288,0.351
PHASE1_TRAIN,2016-08-15,8,7,0,0.7087,1.4237,0.3897
PHASE2_UPGRADE,2023-06-07,9,7,0,0.7085,1.6041,0.352
PHASE1_TRAIN,2018-02-07,6,7,0,0.7085,1.4378,0.3642
PHASE1_TRAIN,2019-06-20,8,7,0,0.7075,1.4442,0.3535
PHASE1_TRAIN,2016-09-06,9,5,0,0.7074,1.6169,0.3833
PHASE1_TRAIN,2016-11-07,8,7,0,0.7074,1.5662,0.3562
PHASE1_TRAIN,2016-08-09,10,7,0,0.7073,1.4443,0.3319
PHASE1_TRAIN,2016-09-27,8,7,0,0.7068,1.4724,0.3755
PHASE1_TRAIN,2017-05-04,5,7,0,0.7068,1.6329,0.3639
PHASE1_TRAIN,2016-07-27,5,9,0,0.7065,1.1446,0.3423
PHASE1_TRAIN,2016-09-13,6,10,0,0.7065,1.3309,0.3734
PHASE1_TRAIN,2016-07-27,9,7,0,0.7065,1.1595,0.3234
PHASE1_TRAIN,2017-05-04,5,7,0,0.7062,1.612,0.3643
PHASE1_TRAIN,2016-08-04,6,7,0,0.7061,1.2702,0.3319
PHASE1_TRAIN,2016-10-03,9,7,0,0.7056,1.5556,0.3717
PHASE1_TRAIN,2016-07-29,5,9,0,0.7056,1.1774,0.3791
PHASE1_TRAIN,2018-04-24,1,7,0,0.7055,1.4923,0.3616
PHASE1_TRAIN,2016-07-25,8,7,0,0.7053,1.2803,0.3805
PHASE1_TRAIN,2016-09-19,9,7,0,0.7031,1.2825,0.38
PHASE1_TRAIN,2019-08-28,5,7,0,0.7021,1.6289,0.3529
PHASE1_TRAIN,2019-06-19,5,7,0,0.7016,1.6966,0.3534
PHASE1_TRAIN,2019-08-01,9,7,0,0.7014,1.7204,0.3529
PHASE1_TRAIN,2019-02-22,8,7,0,0.7011,1.7109,0.3538
PHASE1_TRAIN,2016-12-16,9,7,0,0.7008,1.6588,0.3513
PHASE1_TRAIN,2016-11-14,6,7,0,0.7007,1.6472,0.3556
PHASE2_UPGRADE,2023-10-25,6,5,0,0.7006,1.643,0.3547
PHASE1_TRAIN,2016-08-25,9,7,0,0.7005,1.233,0.3558
PHASE1_TRAIN,2020-12-08,9,7,0,0.6993,1.7616,0.3481
PHASE1_TRAIN,2016-11-22,6,7,0,0.6987,1.5285,0.3506
PHASE1_TRAIN,2016-07-25,8,7,0,0.698,1.3096,0.3273
PHASE1_TRAIN,2016-08-18,4,7,0,0.6979,1.2347,0.3662
PHASE1_TRAIN,2016-09-30,9,7,0,0.6976,1.5925,0.374
PHASE1_TRAIN,2019-07-03,8,7,0,0.6976,1.6791,0.3533
PHASE1_TRAIN,2016-09-21,9,7,0,0.6974,1.4929,0.3711
PHASE1_TRAIN,2019-01-24,9,7,0,0.6969,1.7278,0.3539
PHASE1_TRAIN,2022-03-07,8,7,0,0.6969,1.7364,0.3539
PHASE1_TRAIN,2016-11-01,9,7,0,0.6969,1.5591,0.3549
PHASE1_TRAIN,2018-03-19,5,7,0,0.6967,1.7383,0.362
PHASE1_TRAIN,2017-10-25,6,7,0,0.6962,1.4907,0.3665
PHASE1_TRAIN,2017-12-20,4,7,0,0.6953,1.7112,0.3665
PHASE1_TRAIN,2017-02-10,4,7,0,0.6949,1.645,0.3621
PHASE1_TRAIN,2017-10-25,1,7,0,0.6946,1.4239,0.3673
PHASE1_TRAIN,2016-08-23,9,7,0,0.6942,1.3478,0.3471
PHASE1_TRAIN,2017-06-06,9,7,0,0.6938,1.6223,0.3635
PHASE1_TRAIN,2016-08-03,9,7,0,0.6936,1.29,0.3256
PHASE1_TRAIN,2016-10-05,9,7,0,0.6933,1.4043,0.372
PHASE1_TRAIN,2018-02-09,8,7,0,0.6932,1.6247,0.3641
PHASE1_TRAIN,2016-10-12,6,7,0,0.6931,1.5402,0.3603
PHASE1_TRAIN,2016-08-16,9,7,0,0.6925,1.6111,0.3738
PHASE1_TRAIN,2017-08-11,5,7,0,0.6923,1.6694,0.3631
