threshold,n,accuracy,mistakes
0.5,15133,0.5062446309390075,7472
0.55,7800,0.5203846153846153,3741
0.6,4139,0.5235564145928968,1972
0.65,2266,0.5216240070609003,1084
0.7,1156,0.5423875432525952,529
0.75,559,0.5205724508050089,268
0.8,270,0.4888888888888889,138
0.85,170,0.5117647058823529,83
0.9,90,0.5666666666666667,39
