phase,date,y_true,y_pred,correct,confidence,entropy,cumulative_acc,balanced_acc,macro_f1
PHASE1_TRAIN,2016-09-13,3,1,0,0.876,0.742,0.4934,0.1833,0.1711
PHASE1_TRAIN,2016-08-15,1,3,0,0.8752,0.7113,0.5294,0.1831,0.1712
PHASE1_TRAIN,2016-08-31,3,2,0,0.8736,0.7243,0.4791,0.1806,0.1686
PHASE1_TRAIN,2016-09-13,3,1,0,0.8701,0.7028,0.4891,0.1837,0.1709
PHASE1_TRAIN,2016-07-29,1,3,0,0.8696,0.6824,0.5223,0.1814,0.1687
PHASE1_TRAIN,2017-01-11,1,3,0,0.8687,0.7333,0.4606,0.2039,0.1989
PHASE1_TRAIN,2017-01-06,1,3,0,0.8675,0.7884,0.4603,0.2039,0.1989
PHASE1_TRAIN,2016-10-07,1,3,0,0.8662,0.7667,0.4901,0.1823,0.1705
PHASE1_TRAIN,2016-09-22,3,1,0,0.866,0.736,0.4876,0.1795,0.1675
PHASE1_TRAIN,2016-09-08,1,3,0,0.8645,0.7419,0.4655,0.1789,0.1687
PHASE1_TRAIN,2016-09-27,1,3,0,0.8606,0.762,0.4872,0.1793,0.1673
PHASE1_TRAIN,2017-03-02,2,4,0,0.8589,0.8401,0.4728,0.2048,0.1989
PHASE1_TRAIN,2016-09-09,2,3,0,0.8582,0.7897,0.4949,0.1838,0.1715
PHASE1_TRAIN,2016-09-30,1,2,0,0.8579,0.7795,0.4673,0.1778,0.1665
PHASE1_TRAIN,2017-03-08,3,4,0,0.8538,0.8609,0.4725,0.2074,0.2027
PHASE1_TRAIN,2016-09-09,2,3,0,0.8537,0.7694,0.4935,0.1827,0.1709
PHASE1_TRAIN,2017-04-13,2,4,0,0.8536,0.8438,0.4812,0.2049,0.1985
PHASE1_TRAIN,2016-09-12,1,2,0,0.8525,0.7952,0.4902,0.1822,0.1695
PHASE1_TRAIN,2016-10-03,3,1,0,0.8505,0.7808,0.4907,0.182,0.1698
PHASE1_TRAIN,2016-09-12,1,2,0,0.8501,0.7769,0.4651,0.179,0.1685
PHASE1_TRAIN,2016-09-22,1,3,0,0.8497,0.7825,0.4884,0.1831,0.1707
PHASE1_TRAIN,2016-08-03,3,2,0,0.8477,0.6167,0.25,0.25,0.2
PHASE1_TRAIN,2016-09-12,1,2,0,0.844,0.8502,0.4715,0.1784,0.1669
PHASE1_TRAIN,2016-11-25,1,3,0,0.843,0.8297,0.4591,0.1979,0.192
PHASE1_TRAIN,2016-10-06,4,3,0,0.8415,0.8099,0.4902,0.1841,0.1716
PHASE1_TRAIN,2016-09-16,3,1,0,0.8409,0.8466,0.4892,0.1826,0.1709
PHASE1_TRAIN,2016-09-06,2,3,0,0.8397,0.8572,0.5129,0.184,0.1711
PHASE1_TRAIN,2016-10-27,2,3,0,0.8397,0.8246,0.4667,0.1949,0.1891
PHASE1_TRAIN,2016-10-10,1,3,0,0.8394,0.7409,0.5154,0.1847,0.172
PHASE1_TRAIN,2017-01-18,5,3,0,0.8393,0.8354,0.461,0.204,0.199
PHASE1_TRAIN,2016-08-05,1,3,0,0.8385,0.8556,0.523,0.1815,0.1686
PHASE1_TRAIN,2016-10-06,3,1,0,0.838,0.9215,0.4933,0.1841,0.1716
PHASE1_TRAIN,2016-09-13,3,1,0,0.8362,0.851,0.4711,0.1782,0.1667
PHASE1_TRAIN,2018-11-22,5,3,0,0.8346,0.926,0.4731,0.2142,0.2087
PHASE1_TRAIN,2016-10-19,1,3,0,0.834,0.8945,0.4666,0.195,0.1893
PHASE1_TRAIN,2016-08-29,1,3,0,0.832,0.768,0.4358,0.1836,0.168
PHASE1_TRAIN,2016-10-11,2,3,0,0.8305,0.9326,0.4927,0.1807,0.1686
PHASE1_TRAIN,2016-09-30,3,2,0,0.8297,0.8568,0.4901,0.1803,0.1681
