,precision,recall,f1-score,support
1,0.2401500938086304,0.09785932721712538,0.13905486148832155,1308.0
2,0.25477707006369427,0.06896551724137931,0.10854816824966079,1160.0
3,0.49816216216216214,0.8501845018450185,0.6282208588957056,2710.0
4,0.09090909090909091,0.006024096385542169,0.011299435028248588,166.0
5,0.0,0.0,0.0,139.0
accuracy,0.4583257340871785,0.4583257340871785,0.4583257340871785,0.4583257340871785
macro avg,0.21679968338871553,0.2046066885378131,0.1774246647323873,5483.0
weighted avg,0.36016197200910854,0.4583257340871785,0.3669804610283389,5483.0
