threshold,n,coverage_pct,hit_rate,mistakes
0.5,47980,0.881936657904895,0.5996040016673614,19211
0.55,44592,0.8196606804771795,0.6156485468245425,17139
0.6,41367,0.760380861349558,0.6320013537360698,15223
0.65,38039,0.6992077642777053,0.6486500696653434,13365
0.7,34478,0.6337518151572523,0.6661059226173212,11512
0.75,30377,0.5583699428340348,0.6850906936168812,9566
0.8,25268,0.46445968053232356,0.7069415861959791,7405
0.85,16468,0.30270389500579015,0.7427738644644158,4236
0.9,6480,0.11911107843317464,0.766358024691358,1514
