,precision,recall,f1-score,support
1,0.6854013287843419,0.6951013293790161,0.6902172509105939,38439.0
2,0.6992955525181369,0.5432787867236638,0.6114924915721729,36727.0
3,0.7672073620510617,0.7885597774080999,0.7777370421323537,135854.0
4,0.3084780388151175,0.3600348479985327,0.33226837060702874,21809.0
5,0.2581857219538379,0.2747001713306682,0.26618705035971224,3502.0
accuracy,0.6880815466443251,0.6880815466443251,0.6880815466443251,0.6880815466443251
macro avg,0.5437136008244992,0.532334982567996,0.5355804411163723,236331.0
weighted avg,0.6934728086681862,0.6880815466443251,0.6889780084394375,236331.0
