class,support,class_recall,avg_conf_when_true
1,9032,0.7824402125775022,0.8067239481842338
2,8425,0.15762611275964392,0.7122730682492583
3,30266,0.6573052269873786,0.7208078239608801
4,5444,0.3479059515062454,0.7162435157972079
5,1236,0.49838187702265374,0.678313430420712
