,precision,recall,f1-score,support
1,0.7166938553561718,0.6633115249119276,0.6889702038682697,3974.0
2,0.7100679067020963,0.6477242122273095,0.6774647887323944,3713.0
3,0.7803060545575515,0.8229597922952775,0.8010655373791878,14251.0
4,0.3566849816849817,0.3509009009009009,0.35376930063578566,2220.0
5,0.40397350993377484,0.28841607565011823,0.33655172413793105,423.0
accuracy,0.7188478906472479,0.7188478906472479,0.7188478906472479,0.7188478906472479
macro avg,0.5935452616469152,0.5546625011971067,0.5715643109507138,24581.0
weighted avg,0.7146774564221398,0.7188478906472479,0.7158825332837752,24581.0
