confidence_band,n,hit_rate,avg_confidence,median_confidence,calibration_gap
0.2-0.3,139,0.17985611510791366,0.2814294964028777,0.2845,0.10157338129496402
0.3-0.4,1603,0.26699937616968183,0.36366849656893324,0.3681,0.09666912039925141
0.4-0.5,4681,0.336893826105533,0.4576928220465712,0.4614,0.12079899594103821
0.5-0.6,6613,0.3969454105549675,0.549405716013912,0.5484,0.15246030545894446
0.6-0.7,6889,0.4613151400783858,0.6511981419654522,0.6517,0.18988300188706642
0.7-0.8,9210,0.5540716612377851,0.7538397068403909,0.7553,0.19976804560260586
0.8-0.9,18788,0.6864487971045348,0.8514664839259102,0.8523,0.1650176868213754
0.9-1.0,6480,0.766358024691358,0.9285102777777778,0.9265,0.16215225308641978
