phase,symbol,date,sample_key,y_true,y_pred,correct,confidence,entropy,cumulative_acc,balanced_acc,macro_f1,prob_vector,expert_weights,expert_preds,expert_conf,feature_oc_return,feature_day_range_pct
PHASE1_TRAIN,AAPL,2016-08-25,AAPL|2016-08-25,3,2,0,0.7622,1.2489,0.5333,0.537,0.3956,"[0.042389, 0.762214, 0.048442, 0.09361, 0.053345]","{'sgd': 0.54817, 'pa': 0.33115, 'gnb': 0.07301, 'rule': 0.04767}","{'sgd': 2, 'pa': 2, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.5945, 'gnb': 0.2, 'rule': 0.8565}",-0.004165,0.012641
PHASE1_TRAIN,AAPL,2016-08-26,AAPL|2016-08-26,4,2,0,0.6106,1.6062,0.5217,0.4028,0.3898,"[0.026113, 0.610639, 0.207191, 0.101592, 0.054466]","{'sgd': 0.54556, 'pa': 0.32958, 'gnb': 0.07266, 'rule': 0.05221}","{'sgd': 2, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.5786, 'gnb': 0.2, 'rule': 0.9066}",-0.008255,0.015339
PHASE1_TRAIN,AAPL,2016-08-29,AAPL|2016-08-29,3,4,0,0.7402,1.2655,0.5106,0.3978,0.3867,"[0.037824, 0.034888, 0.144891, 0.740175, 0.042222]","{'sgd': 0.54039, 'pa': 0.32646, 'gnb': 0.07197, 'rule': 0.06118}","{'sgd': 4, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 1.0, 'pa': 0.3953, 'gnb': 0.2, 'rule': 0.9472}",-0.00075,0.010786
PHASE1_TRAIN,AAPL,2016-08-30,AAPL|2016-08-30,3,4,0,0.4286,1.8488,0.5,0.3932,0.3838,"[0.365538, 0.074568, 0.072181, 0.428601, 0.059112]","{'sgd': 0.50994, 'pa': 0.36441, 'gnb': 0.06792, 'rule': 0.05773}","{'sgd': 1, 'pa': 4, 'gnb': 1, 'rule': 4}","{'sgd': 0.5, 'pa': 0.294, 'gnb': 0.2, 'rule': 0.9164}",-0.005629,0.031324
PHASE1_TRAIN,ABBV,2016-07-22,ABBV|2016-07-22,3,3,1,0.4027,2.0269,0.5102,0.3981,0.3888,"[0.046855, 0.2392, 0.40267, 0.092992, 0.218282]","{'sgd': 0.50994, 'pa': 0.36441, 'gnb': 0.06792, 'rule': 0.05773}","{'sgd': 2, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.3333, 'pa': 0.5952, 'gnb': 0.2, 'rule': 0.9042}",0.001646,0.004538
PHASE1_TRAIN,ABBV,2016-07-25,ABBV|2016-07-25,3,3,1,0.4865,1.8493,0.52,0.4028,0.3934,"[0.077814, 0.291486, 0.486472, 0.092689, 0.051539]","{'sgd': 0.47807, 'pa': 0.40414, 'gnb': 0.06367, 'rule': 0.05412}","{'sgd': 2, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.5, 'pa': 0.5762, 'gnb': 0.2, 'rule': 0.9225}",0.004063,0.012294
PHASE1_TRAIN,ABBV,2016-07-26,ABBV|2016-07-26,3,3,1,0.4873,1.881,0.5294,0.4071,0.3976,"[0.029591, 0.205329, 0.487274, 0.08191, 0.195896]","{'sgd': 0.44516, 'pa': 0.44516, 'gnb': 0.05929, 'rule': 0.05039}","{'sgd': 2, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.3333, 'pa': 0.732, 'gnb': 0.2, 'rule': 0.951}",0.000621,0.011947
PHASE1_TRAIN,ABBV,2016-07-27,ABBV|2016-07-27,3,3,1,0.507,1.8156,0.5385,0.4111,0.4016,"[0.053692, 0.278392, 0.50698, 0.099312, 0.061624]","{'sgd': 0.41085, 'pa': 0.48601, 'gnb': 0.05472, 'rule': 0.04842}","{'sgd': 2, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.4999, 'pa': 0.5936, 'gnb': 0.2, 'rule': 0.9021}",0.005899,0.012269
PHASE1_TRAIN,ABBV,2016-07-28,ABBV|2016-07-28,3,3,1,0.3963,2.0774,0.5472,0.4149,0.4052,"[0.05706, 0.225686, 0.396257, 0.114282, 0.206716]","{'sgd': 0.37591, 'pa': 0.52603, 'gnb': 0.05007, 'rule': 0.048}","{'sgd': 2, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.3333, 'pa': 0.4904, 'gnb': 0.2, 'rule': 0.8581}",0.000309,0.017436
PHASE1_TRAIN,ABBV,2016-07-29,ABBV|2016-07-29,3,3,1,0.4038,2.0623,0.5556,0.4184,0.4086,"[0.219385, 0.074903, 0.40383, 0.221628, 0.080254]","{'sgd': 0.34078, 'pa': 0.56411, 'gnb': 0.04756, 'rule': 0.04756}","{'sgd': 1, 'pa': 3, 'gnb': 1, 'rule': 4}","{'sgd': 0.3333, 'pa': 0.4964, 'gnb': 0.2, 'rule': 0.9635}",0.00822,0.024158
