,precision,recall,f1-score,support
1,0.5217391304347826,0.5714285714285714,0.5454545454545454,21.0
2,0.4,0.35294117647058826,0.375,17.0
3,0.7285714285714285,0.6986301369863014,0.7132867132867133,73.0
4,0.0,0.0,0.0,1.0
accuracy,0.6160714285714286,0.6160714285714286,0.6160714285714286,0.6160714285714286
macro avg,0.4125776397515528,0.40574997122136525,0.4084353146853147,112.0
weighted avg,0.6334128216503992,0.6160714285714286,0.62410246003996,112.0
