,precision,recall,f1-score,support
1,0.3374233128834356,0.3363914373088685,0.33690658499234305,1308.0
2,0.33212669683257917,0.3163793103448276,0.3240618101545254,1160.0
3,0.5178900774621911,0.5180811808118081,0.5179856115107914,2710.0
4,0.07253886010362694,0.08433734939759036,0.07799442896935933,166.0
5,0.36470588235294116,0.4460431654676259,0.40129449838187703,139.0
accuracy,0.417107422943644,0.417107422943644,0.417107422943644,0.417107422943644
macro avg,0.3249369659269548,0.34024648866614415,0.3316485868017792,5483.0
weighted avg,0.4181715009892621,0.417107422943644,0.41748194977703323,5483.0
