,precision,recall,f1-score,support
1,0.3477763804733051,0.35931963146704465,0.3534537849299948,8466.0
2,0.3557204217102694,0.34424990552966367,0.34989117910638845,7939.0
3,0.5313087573357643,0.5209206189598347,0.526063409680695,17901.0
4,0.07589285714285714,0.09572072072072071,0.0846613545816733,888.0
5,0.14350797266514806,0.18208092485549132,0.16050955414012738,346.0
accuracy,0.429037703995498,0.429037703995498,0.429037703995498,0.429037703995498
macro avg,0.2908412778654689,0.30045836030655104,0.29491585648777574,35540.0
weighted avg,0.4332117035958735,0.429037703995498,0.4310045722970761,35540.0
