,precision,recall,f1-score,support
1,0.3492654811274338,0.395211962141096,0.37082089552238806,12573.0
2,0.34679422316254255,0.31946445216507074,0.33256880733944955,11801.0
3,0.5248500592122856,0.5097770027086194,0.5172037343773528,26951.0
4,0.07669172932330827,0.07264957264957266,0.07461594732991954,1404.0
5,0.34453057708871665,0.3857280617164899,0.36396724294813465,1037.0
accuracy,0.42740765539560316,0.42740765539560316,0.42740765539560316,0.42740765539560316
macro avg,0.3284264139828573,0.33656621027616973,0.3318353255034489,53766.0
weighted avg,0.42952834252125177,0.42740765539560316,0.42793453634282425,53766.0
